neighborhood,latitude,longitude
vila cruz das almas,-23.48153999999994,-46.69798999999995
vila robertina,-23.502369999999928,-46.69110999999998
sitio do morro,-23.500479999999982,-46.66760999999997
vila nova mazzei,-23.463769999999954,-46.59679999999997
vila prudente,-23.579709999999977,-46.581309999999974
jardim luisa,-23.653189999999938,-46.737949999999955
jardim pinheiros,-23.58161999999993,-46.745119999999986
parque boturussu,-23.50186999999994,-46.48467999999997
vila nova jaguare,-23.543619999999976,-46.74479999999994
vila iorio,-23.48547999999994,-46.70533999999998
vila rio branco,-23.51142999999996,-46.49550999999997
jardim umuarama,-23.64441999999997,-46.76406999999995
vila das belezas,-23.645999999999958,-46.74238999999994
jardim santo antonio,-23.515649999999937,-46.427539999999965
caxingui,-23.582239999999956,-46.71883999999994
vila carolina,-23.506659999999954,-46.44531999999998
vila sao francisco,-23.518609999999967,-46.491349999999954
jardim monjolo,-23.492779999999982,-46.698459999999955
vila brasilandia,-23.469499999999982,-46.68954999999994
pirituba,-23.46623999999997,-46.72348999999997
jardim miriam,-23.68158999999997,-46.63760999999994
jaragua,-23.45766999999995,-46.743709999999965
vila anastacio,-23.512149999999963,-46.71814999999998
vila progresso,-23.520879999999977,-46.43769999999995
jardim piqueroby,-23.57230999999996,-46.530059999999935
socorro,-23.66939999999994,-46.71623999999997
vila lucia,-23.59409999999997,-46.57174999999995
vila pompeia,-23.531889999999976,-46.68626999999998
vila romana,-23.529219999999953,-46.69691999999998
cj h morro esperanca,-23.612719999999968,-46.480189999999936
jardim modelo,-23.466959999999972,-46.57457999999997
jardim ibitirama,-23.596599999999967,-46.579169999999976
conjunto habitacional instituto adventista,-23.665309999999977,-46.77684999999997
vila carrao,-23.552209999999945,-46.534719999999936
jardim parque morumbi,-23.62369999999993,-46.72801999999996
vila morumbi,-23.68032676642865,-46.64378972850025
americanopolis,-23.678009999999972,-46.64451999999994
lar sao paulo,-23.547499999999957,-46.636109999999974
jardim taboao,-23.609569999999962,-46.74831999999998
jardim nove de julho,-23.58854999999994,-46.48842999999994
vila marina,-23.481889999999964,-46.70280999999994
sumarezinho,-23.54624999999993,-46.694079999999985
jardim jaqueline,-23.59382999999997,-46.75165999999996
cidade patriarca,-23.53661999999997,-46.50535999999994
jardim santa efigenia,-23.66617999999994,-46.735769999999945
jardim dom bosco,-22.37773999999996,-47.364829999999984
vila madalena,-23.551189999999963,-46.69710999999995
conjunto habitacional teotonio vilela,-23.603809999999953,-46.505169999999964
chacara nossa senhora do bom conselho,-23.559589999999957,-46.58774999999997
jardim casablanca,-23.651949999999943,-46.748249999999985
vila pirituba,-23.481389999999976,-46.741889999999955
vila fiat lux,-23.508639999999957,-46.72186999999997
vila cruzeiro,-23.638759999999934,-46.71171999999996
parque edu chaves,-23.47632999999996,-46.566709999999944
vila aricanduva,-23.536329999999964,-46.54036999999994
higienopolis,-23.545229999999947,-46.659749999999974
vila alexandria,-23.63898999999998,-46.66835999999995
jardim monte verde,-23.755499999999927,-46.66354999999993
jardim robru,-23.520539999999983,-46.41254999999995
bosque da saude,-23.618319999999983,-46.624169999999935
vila antonieta,-23.57090999999997,-46.514819999999986
vila silvia,-23.49389999999994,-46.50382999999994
jardim sao bernardo,-23.75414999999998,-46.70088999999996
vila nova alba,-23.571189999999945,-46.74876999999998
vila guaca,-23.479317159432455,-46.637922382746055
vila sao paulo,-23.658189999999934,-46.674999999999955
cantinho do ceu,-23.74398999999994,-46.66122999999993
capao redondo,-23.669269999999983,-46.76974999999993
jardim taquaral,-23.664729999999963,-46.68536999999998
parque independencia,-23.68990999999994,-46.78487999999993
vila morse,-23.59771999999998,-46.72704999999996
colonia,-23.891309999999976,-46.64763999999997
jabaquara,-23.637179999999944,-46.64614999999998
jardim sao cristovao,-23.580799999999954,-46.49724999999995
alto de pinheiros,-23.55272999999994,-46.70915999999994
conjunto habitacional padre manoel da nobrega,-23.47473999999994,-46.75679999999994
campo belo,-23.62035999999995,-46.67229999999995
vila santa clara,-23.579669999999965,-46.56446999999997
jardim santo elias,-23.50082999999995,-46.74830999999995
luz,-23.52744999999993,-46.62686999999994
jardim vilas boas,-23.67710999999997,-46.640349999999955
sitio da figueira,-23.602939999999933,-46.54437999999993
bras,-23.542769999999962,-46.61999999999995
veleiros,-23.68270999999993,-46.70768999999996
vila guilherme,-23.51488999999998,-46.607699999999966
itaquera,-23.53942999999998,-46.44780999999995
vila do bosque,-23.59427999999997,-46.799139999999966
vila guilhermina,-23.533399999999972,-46.514219999999966
penha de franca,-23.533329999999978,-46.53332999999998
jardim vitoria regia,-23.622709999999927,-46.71763999999996
vila uniao,-23.503349999999955,-46.70316999999994
jardim londrina,-23.60516999999993,-46.74208999999996
cidade satelite santa barbara,-23.610639999999933,-46.464069999999936
artur alvim,-23.551049999999975,-46.47999999999996
furnas,-23.44109999999995,-46.59146999999996
jardim olympia,-23.587429999999983,-46.74957999999998
vila santo estevao,-23.55320999999998,-46.555879999999945
jardim monte kemel,-23.60122999999993,-46.737439999999935
perus,-23.402669999999944,-46.74981999999994
jardim maria estela,-23.63549999999998,-46.599219999999946
lauzane paulista,-23.477769999999964,-46.64327999999995
pacaembu,-23.543049999999937,-46.66612999999995
jardim prudencia,-23.650909999999953,-46.67089999999996
vila maria baixa,-23.520299999999963,-46.59335999999996
bela alianca,-23.52258999999998,-46.72660999999994
jardim sabara,-23.686869999999942,-46.682819999999936
jardim campo grande,-23.67832999999996,-46.68887999999998
vila isa,-23.670159999999953,-46.69219999999996
quarta parada,-23.547769999999957,-46.58320999999995
vila prado,-23.495339999999942,-46.67474999999996
vila germinal,-23.46572999999995,-46.590629999999976
santa cecilia,-23.535919999999976,-46.657749999999965
indianopolis,-23.60663999999997,-46.66121999999996
vila pita,-23.478709999999978,-46.66015999999996
jardim nordeste,-23.530249999999967,-46.48316999999997
conjunto promorar raposo tavares,-23.587859999999978,-46.79866999999996
conjunto residencial sitio oratorio,-23.62284999999997,-46.50709999999998
ferreira,-23.593279999999936,-46.74002999999993
vila clara,-23.67432999999994,-46.638319999999965
vila prel,-23.64271999999994,-46.74508999999995
jardim paulista,-23.57234999999997,-46.66084999999998
jardim cotinha,-23.508879999999976,-46.47924999999998
vila jaragua,-23.48569999999995,-46.763649999999984
guaiauna,-23.531069999999943,-46.549549999999954
vila mazzei,-23.47321999999997,-46.603749999999934
altos de vila prudente,-23.622289999999964,-46.498279999999966
tatuape,-23.536029999999982,-46.57543999999996
vila sofia,-23.65889999999996,-46.69142999999997
jardim palmares,-23.687359999999956,-46.677209999999945
vila bancaria munhoz,-23.485269999999957,-46.68432999999993
vila jacui,-23.501379999999983,-46.45408999999995
cidade tiradentes,-23.60120999999998,-46.39875999999998
jardim previdencia,-23.616839999999968,-46.61083999999994
jardim das acacias,-23.623839999999973,-46.69028999999995
jardim antartica,-23.464018618019097,-46.68710782329393
vila primavera,-23.58928999999995,-46.52798999999993
parque maria domitila,-23.49144999999993,-46.73971999999998
jardim petropolis,-23.630249999999933,-46.68273999999997
cerqueira cesar,-23.562179999999955,-46.66444999999993
sapopemba,-23.59800999999993,-46.49813999999998
parque sao rafael,-23.627899999999954,-46.47013999999996
vila matias,-23.947431309704005,-46.33397575606589
conjunto residencial elisio teixeira leite,-23.445869999999957,-46.716429999999946
brasilandia,-23.469499999999982,-46.68954999999994
morumbi,-23.600999999999942,-46.71550999999994
jardim caravelas,-23.58324186512118,-46.65041368016104
vila mangalot,-23.500549999999976,-46.74453999999997
imirim,-23.49145999999996,-46.652409999999975
vila nova curuca,-23.516849999999977,-46.42059999999998
jardim cabore,-23.53156999999993,-46.685769999999934
alto do pari,-23.525919999999928,-46.604469999999935
usina piratininga,-23.549799356509375,-46.617796914843275
vila barbosa,-23.49344999999994,-46.42489999999998
vila moinho velho,-23.60910999999993,-46.60314999999997
vila regina,-23.555021007809238,-46.62076001194982
jardim peri peri,-23.58573999999993,-46.73392999999993
vila talarico,-23.546189999999967,-46.50966999999997
parque peruche,-23.49843999999996,-46.653659999999945
vila deodoro,-23.641867135549255,-46.6943690283015
jardim beatriz,-23.737639999999942,-46.705019999999934
cidade antonio estevao de carvalho,-23.53679999999997,-46.471329999999966
nossa senhora do o,-23.49888999999996,-46.70205999999996
terceira divisao de interlagos,-23.716969999999947,-46.693979999999954
vila gertrudes,-23.620239999999967,-46.695749999999975
jardim patente,-23.627239999999972,-46.58488999999997
parada inglesa,-23.48453999999998,-46.60598999999996
chacara california,-23.541499999999928,-46.545439999999985
jardim bonfiglioli,-23.57985999999994,-46.737829999999974
vila heliopolis,-23.611950931464325,-46.58879115995962
vila paulista,-23.642209999999977,-46.66279999999995
parque sao lourenco,-23.604029999999966,-46.46393999999998
jardim norma,-23.524319999999932,-46.44692999999995
jardim belaura,-23.53156999999993,-46.685769999999934
vila pirajussara,-23.633829999999932,-46.77099999999996
vila suzana,-23.619149999999934,-46.74067999999994
santo amaro,-23.653099999999938,-46.706309999999974
parque tomas saraiva,-23.583289999999977,-46.53726999999998
jardim brasil,-23.53156999999993,-46.685769999999934
centro,-23.548689999999965,-46.63302999999996
sao joao climaco,-23.627669999999966,-46.593969999999956
vila chabilandia,-23.53529999999995,-46.40675999999996
paraiso do morumbi,-23.624559999999974,-46.72302999999994
