,latitude,longitude,squared_meters,bedrooms,bathrooms,suites,parking_spaces,estimated_price
265,-23.50359999999995,-46.42323999999997,97.0,3.0,2.0,1.0,1.0,559.7664817908923
266,-23.536029999999986,-46.575439999999965,92.0,3.0,2.0,1.0,1.0,606.6675639528721
267,-23.62035999999995,-46.67229999999995,90.0,3.0,2.0,1.0,2.0,794.030017652772
268,-23.560659999999928,-46.42335999999993,168.0,3.0,3.0,1.0,1.0,1023.3897781953666
269,-23.535919999999976,-46.65774999999997,148.0,3.0,2.0,0.0,1.0,935.7070193488187
270,-23.496439999999946,-46.62925999999993,267.0,4.0,6.0,2.0,2.0,2054.51798095214
271,-22.37773999999996,-47.364829999999984,68.0,2.0,2.0,1.0,1.0,921.8765909404909
272,-23.536029999999986,-46.575439999999965,65.0,3.0,2.0,1.0,1.0,457.8122331520865
273,-23.602179999999976,-46.69162999999998,207.0,3.0,3.0,0.0,2.0,1502.828224660161
274,-23.644789999999947,-46.784359999999936,56.0,2.0,1.0,0.0,1.0,428.77399211940053
275,-23.55958999999996,-46.60380999999995,210.0,4.0,4.0,3.0,3.0,1751.0085590091626
276,-23.525789999999965,-46.49988999999994,56.0,3.0,1.0,0.0,1.0,276.3357839472395
277,-23.48383999999993,-46.595109999999984,75.0,3.0,2.0,1.0,1.0,524.5237683492959
278,-23.536029999999986,-46.575439999999965,427.0,4.0,4.0,3.0,2.0,2780.8837213092957
279,-13.299999999999955,-39.88332999999994,70.0,3.0,2.0,0.0,1.0,-2503.8090399352013
280,-23.563369999999967,-46.61991999999998,90.0,3.0,2.0,1.0,1.0,616.7842815835825
281,-23.653099999999935,-46.706309999999974,187.0,4.0,5.0,2.0,3.0,1725.3969073093986
282,-23.55958999999996,-46.60380999999995,300.0,4.0,4.0,2.0,5.0,2533.0267913898583
283,-23.55220999999995,-46.534719999999936,74.0,3.0,2.0,1.0,2.0,639.8529734600074
